Name,Black,East Asian,Hispanic/Latino,South Asian,White,Other,Male,Female
american.presid_tt0112346,0.04310327237483102,0.0,0.026757976891881544,0.0,0.961350014028107,0.0,0.6341295673775263,0.3658704326224736
american.reunio_tt1605630,0.022467509846777957,0.021676396388297343,0.05480146311040195,0.01088061940587829,0.9436809250633502,0.0,0.7987494306182451,0.20125056938175495
american.splend_tt0305206,0.03313654335698424,0.0,0.015070140280561133,0.0,0.9529708064778208,0.0,0.8365589249138232,0.16344107508617675
american.underd_tt11729298,0.035108376538197254,0.06009744518708228,0.04965332000749576,0.006677493909675807,0.8512399275407586,0.0,0.6991344281723525,0.3008655718276475
american_beauty,0.0,0.0004866349195314401,0.006312929426350121,6.082936494143001e-05,0.9950154680385134,0.0,0.5689986638327141,0.43100133616728586
american_gangster,0.4681351872103318,0.015402541269593298,0.10512289746393798,0.010022522522522526,0.444805499140759,0.002098630422329844,0.8883500475807042,0.1116499524192958
american_gigolo,0.04767027165683362,0.0,0.0983516892702584,0.0,0.9356529941829196,0.0,0.7628817090615088,0.2371182909384912
american_pie,0.0007822906315411125,0.028703018514211625,0.05854282512632934,0.017230832117611415,0.948088321317067,0.0,0.7310212664707433,0.26897873352925666
american_sniper,0.0359603789836348,0.0,0.02641325536062378,0.015501609320458767,0.9321546760959246,0.0,0.8168069597930873,0.18319304020691277
american_wedding,0.0,0.008060117568632204,0.029766377795285123,0.0071465365735410005,0.9686054380542599,0.0,0.7290597970569513,0.27094020294304866
american_werewolf_in_london,0.0,0.0,0.10466401516903291,0.052332007584516456,1.0,0.0,0.7688593285080358,0.23114067149196413
americas_sweethearts,0.006175155826984828,0.0,0.0800491091103696,0.01669269029780269,0.9793905433482333,0.0,0.6426741080805353,0.3573258919194647
amistad_tt0118607,0.4040201085137024,0.0020406102700088746,0.02082485293258015,0.0012631590134924728,0.5854760626849966,0.002079934530420504,0.9925355043332458,0.007464495666754207
amityville.horr_tt0384806,0.0,0.0,0.0,0.0,1.0,0.0,0.3536578933488053,0.6463421066511947
amlie_tt0211915,0.0,0.06407970475221361,0.2116048782710384,0.009276612548030923,0.8431982139331436,0.0,0.4150161918618294,0.5849838081381705
