key,player,pick,pos,college,year,team,n_college_picks,short_college,age,bench,broad,carav,def_int,def_int_td,def_int_yards,forty,fumbles_forced,fumbles_rec,fumbles_rec_tds,fumbles_rec_yds,games,height,kick_ret,kick_ret_td,kick_ret_yds,pass_att,pass_cmp,pass_defended,pass_int,pass_td,pass_yds,punt_ret,punt_ret_td,punt_ret_yds,rec_td,rec_yards,receptions,rush_att,rush_td,rush_yds,sacks,seasons,shuttle,tackles_assists,tackles_combined,tackles_loss,tackles_solo,threecone,vertical,weight
https://www.sports-reference.com/cfb/players/micah-hyde-1.html,Micah Hyde,257.0,CB,Iowa,2013.0,,203,Iowa,22.484754354011947,12.0,121.0,0.0,8.0,2.0,0.0,4.56,4.0,0.0,0.0,9.0,51.0,72.0,0.0,0.0,0.0,0.0,0.0,15.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,4.0,4.2,85.0,240.0,6.0,155.0,6.78,33.0,197.0
https://www.sports-reference.com/cfb/players/micah-johnson-1.html,Micah Johnson,257.0,ILB,Kentucky,2010.0,,118,Kentucky,21.01548559925829,31.0,106.51171711200769,0.0,2.0,1.0,0.0,4.99,2.0,0.0,0.0,0.0,49.0,73.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,1.0,3.5,4.0,4.5193023211025025,124.0,285.0,24.0,161.0,7.5470701353839456,29.0,258.0
https://www.sports-reference.com/cfb/players/michael-bennett-1.html,Michael Bennett,257.0,RB,Wisconsin,2001.0,,208,Wisconsin,23.53439338424753,13.0,130.0,0.0,0.0,0.0,0.0,4.38,0.0,0.0,0.0,0.0,21.0,69.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,350.0,14.0,1890.0,0.0,2.0,4.14904110822714,0.0,0.0,0.0,0.0,6.8805509076965325,39.5,207.0
https://www.sports-reference.com/cfb/players/michael-bennett-3.html,Michael Bennett,257.0,DE,Texas A&M,2009.0,,182,Texas A&M,22.714940733559384,24.0,110.0,0.0,1.0,0.0,0.0,4.86,3.0,0.0,0.0,0.0,47.0,75.0,0.0,0.0,0.0,0.0,0.0,6.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.5,4.0,4.498195960190961,61.0,112.0,20.0,51.0,7.432904478449452,31.0,274.0
https://www.sports-reference.com/cfb/players/michael-bennett-5.html,Mike Bennett,257.0,DT,Ohio State,2015.0,,149,Ohio State,22.70597226793935,26.124593631155903,107.22879171287923,0.0,0.0,0.0,0.0,5.04,7.0,2.0,0.0,0.0,49.0,74.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,18.0,4.0,4.599708990304125,50.0,111.0,32.0,61.0,7.62971006926201,30.416978199569826,293.0
https://www.sports-reference.com/cfb/players/michael-boley-1.html,Michael Boley,257.0,OLB,Southern Miss,2005.0,,57,Southern Miss,22.700901521800738,20.33558888611853,113.0,0.0,3.0,2.0,0.0,4.56,0.0,1.0,0.0,15.0,38.0,75.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,3.0,4.12,0.0,0.0,0.0,0.0,7.08,34.0,236.0
https://www.sports-reference.com/cfb/players/michael-boulware-1.html,Michael Boulware,257.0,OLB,Florida State,2004.0,,142,Florida State,23.207017424279854,20.33725819554425,123.75130204468566,0.0,5.0,1.0,0.0,4.5,0.0,0.0,0.0,157.0,25.0,74.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,3.92,0.0,0.0,0.0,0.0,6.89,37.57474357737536,225.0
https://www.sports-reference.com/cfb/players/michael-brockers-1.html,Michael Brockers,257.0,DT,LSU,2012.0,,331,LSU,23.554441642130417,25.37446264238943,105.0,0.0,1.0,0.0,0.0,5.31,2.0,0.0,0.0,0.0,27.0,77.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,2.0,4.81,45.0,79.0,11.0,34.0,7.46,26.5,322.0
https://www.sports-reference.com/cfb/players/michael-buchanan-1.html,Michael Buchanan,257.0,DE,Illinois,2013.0,,101,Illinois,23.372281490123566,22.0,113.0,0.0,1.0,0.0,0.0,4.78,2.0,0.0,0.0,0.0,46.0,77.0,0.0,0.0,0.0,0.0,0.0,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,4.0,4.44,93.0,161.0,27.0,68.0,6.91,33.0,255.0
https://www.sports-reference.com/cfb/players/michael-burton-1.html,Michael Burton,257.0,FB,Rutgers,2015.0,,69,Rutgers,22.236807067759877,25.0,115.0,0.0,0.0,0.0,0.0,4.65,0.0,0.0,0.0,0.0,41.0,71.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,-2.0,0.0,0.0,0.0,3.0,0.0,0.0,22.0,0.0,116.0,0.0,4.0,4.34,8.0,13.0,0.0,5.0,7.2,33.0,242.0
