IMDB ID,Name,Black,East Asian,Hispanic/Latino,South Asian,White,Other,Male,Female
tt1025100,gemini.man_tt1025100,0.545586377089358,0.0462690490930214,0.0273781154860539,0.0,0.4056496408551633,0.0,0.7575356022611001,0.2424643977388999
tt0144214,generals_daughter,0.0830101501178304,0.0029095767382308,0.0161882318012284,0.0027769015234454,0.9224109777142752,0.0,0.7580805569368474,0.2419194430631526
tt8367814,gentlemen,0.0,0.0659462146272902,0.0207171383027955,0.0096292614366762,0.9175188111684348,0.0,0.9007826192058984,0.0831419592675409
tt0119190,george_of_the_jungle_fs,0.023031486082239,4.9434670182021e-05,0.009330477107945,4.9434670182021e-05,0.9669307407595196,0.0006578613801145,0.650662331406551,0.3493376685934489
tt1226229,get.him.to.the._tt1226229,0.0853443503294026,0.0333063444610529,0.0133366550406909,0.0016435531196368,0.9091589160161656,0.0,0.8589085925442052,0.1410914074557948
tt2561572,get_hard,0.3892110202440005,0.0,0.0047761093980426,0.0,0.6107889797559994,0.0,0.9270624990875512,0.0719447567046732
tt5052448,get_out,0.5822320382223024,0.0137419994591183,0.0031253943928603,0.0,0.421203461642477,0.017170287568737,0.7056954078230674,0.2943045921769326
tt0113161,get_shorty,0.0936041587343523,0.005981677325107,0.0731189730599178,0.0036124730948847,0.8386508978732329,0.0177243517518435,0.831618712018276,0.1683812879817239
tt0425061,get_smart_fs,0.0647401787752665,0.0308756124545598,0.0408057179987004,0.0247414080747414,0.8609609609609611,0.0205354477284301,0.7780065607653704,0.2219934392346295
tt0099653,ghost,0.2212791237222121,0.0,0.0156786512746242,0.0008485777359074,0.7785929217227466,0.0,0.5843129223837804,0.4156870776162195
tt0116409,ghost.and.the.d_tt0116409,0.1380390267405444,0.0,0.0122793130743022,0.0184189696114533,0.8374023471108509,0.0,0.9725490196078432,0.0274509803921568
tt0082449,ghost.story_tt0082449,0.0,0.0,0.0072689302691958,0.0,1.0,0.0,0.7932140725512302,0.2067859274487698
tt0259324,ghost_rider,0.0,0.0,0.1428060246926113,0.0374652641195802,0.8571939753073894,0.0,0.7959295145815521,0.2040704854184478
tt4513678,ghostbusters.afterlife_tt4513678,0.0845819378341853,0.1486182110190571,0.0104667332589067,0.0,0.796523493350569,0.0,0.4368231865652179,0.5631768134347821
tt0087332,ghostbusters_1984,0.0714837879790477,0.0047866123276912,0.0002133567510405,0.0,0.9237295996932612,0.0,0.8405351202413754,0.1594648797586245
tt0097428,ghostbusters_2,0.0947827839294047,0.0050013788129481,0.0063595095668406,0.0040653769462475,0.8963206906792243,0.0018285180942683,0.8448586265388738,0.1551413734611262
tt1289401,ghostbusters_2016,0.1578324767588737,0.0,0.0032039671984334,0.005346628616493,0.8342190914741324,0.0,0.1888337855962072,0.8111662144037928
tt0821640,ghosts.of.girlf_tt0821640,0.0306666487242975,0.0076730541500699,0.0437674938098826,0.0132159005275056,0.946064565615243,0.0,0.5855261105321944,0.4144738894678056
tt1583421,gi_joe_retaliation,0.1499781132358643,0.0910464374601347,0.1464262040846953,0.0657403354302937,0.6074540065285085,0.0682104130970396,0.8442955889688591,0.1557044110311408
tt1046173,gi_joe_the_rise_of_cobra,0.2190907344560416,0.0430799769481974,0.0628891592495357,0.0086405839789972,0.6612960235640646,0.0154344624447717,0.783786350148368,0.216213649851632
tt3631112,girl.on.the.tra_tt3631112,0.0,0.0,0.0338957917385489,0.0,1.0,0.0,0.2070281591808238,0.7929718408191762
tt3564472,girls_trip,0.9587431946559504,0.0,0.0174727664605399,0.0,0.0613325094751795,0.0,0.1296185804911861,0.866928726232572
tt0172495,gladiator,0.0260447103566624,0.0062560873799916,0.0108929316822039,0.006730323268865,0.9550241176197768,0.0002000139140114,0.8531377065028861,0.1468622934971139
tt6823368,glass,0.187462372065021,0.0,0.0122290788681517,0.0084747516556291,0.7979756170981339,0.0,0.6682899419366922,0.3317100580633077
tt0080798,gloria_tt0080798,0.1902527957728638,0.0380505591545727,0.1174631754189136,0.0381012268828489,0.69315895190185,0.0007202055662118,0.4475917978063901,0.5524082021936099
